class_id;Veolia Bonneuil;TVL;Ecoembes
Combination;v;;
Metal;;;
Plastic_LDPE;;;
Glass;v;;
Fibrous_Cardboard;;;
Fibrous_Paper;;;
Organic;v;;
Wood;v;;
EWaste(e_waste);v;;
Other;v;;
Rubble;;;
Plastic_PET;;;
Plastic_HDPE;;;
Metal_Ferrous_Steel;;;
Metal_NonFerrous_Aluminium;;;
Metal_NonFerrous_Copper;;;
Fabric;v;;
FullPlasticBag (Full_plastic_bag);v;;
Background (background);;;
Plastic_PVC;v;;
Human;;;
Plastic;;;
Fibrous_Cardboard_Raw_NonBrown;v;;
Fibrous_Paper_Magazine;v;;
Fibrous_Cardboard_Raw_Brown;v;;
Fibrous_Paper_Mixed;v;;
Plastic_PP;v;;
Plastic_PS;;;
Plastic_PS_Packaging;;;
Plastic_PS_Foam;;;
Plastic_PET_Packaging;v;;
Plastic_PET_Bottles;v;;
Plastic_LDPE_Packaging;v;;
Plastic_LDPE_Film;v;;
Plastic_HDPE_Packaging;v;;
Plastic_HDPE_Rigid;v;;
Plastic_Brik;v;;
Metal_NonFerrous_Aluminium_Cans;;;
Metal_NonFerrous_Aluminium_Packaging;;;
Metal_NonFerrous_Aluminium_Bars;;;
Metal_Ferrous_Steel_Packaging;;;
Metal_Ferrous_Steel_Rigid;;;
Metal_Ferrous;v;;
Metal_NonFerrous;v;;
Plastic_PET_Bottles_Clear_White;;;
Plastic_PET_Bottles_Clear_Blue;;;
Plastic_PET_Bottles_Clear_Green;;;
Plastic_PET_Bottles_Clear_Brown;;;
Plastic_PET_Bottles_Clear;;;
Plastic_PET_Bottles_Opaque;;;
Fibrous_Cardboard_Folding;;;
Fibrous_Cardboard_Raw;;;
Fibrous_Cardboard_Plastified;v;;
Rubble_Plaster;v;;
Rubble_Concrete;v;;
Rubble_Tile;v;;
Rubble_Rock;v;;
Rubble_Mixed;v;;
Metal_NonFerrous_Aluminium_Rigid;;;
Plastic_LDPE_Foam;v;;
Plastic_PS_Foam_XPS;v;;
Plastic_PS_Foam_EPS;v;;
Plastic_PUR_Foam;v;;
Plastic_PUR_Rigid;;;
Plastic_PUR;;;
Fibrous;;;
Fibrous_MineralWool;;;
